
[PMH2004]|RAJ2000|DEJ2000|CFlux|Class
 |"h:m:s"|"d:m:s"|mW/m2|
---|-----------|-----------|---------|--------------------
199|01 33 42.88|+30 53 43.9| 5.10e-15|<hard>
201|01 33 44.24|+30 22 08.1| 4.21e-15|
202|01 33 44.76|+30 19 26.7| 3.31e-15|
203|01 33 45.26|+30 28 34.7| 2.44e-15|<hard>
205|01 33 46.52|+30 37 50.0| 2.06e-14|<hard>
206|01 33 46.66|+30 54 53.0| 6.05e-15|<hard>
208|01 33 48.94|+30 29 47.7| 1.46e-14|<hard>
209|01 33 49.69|+30 56 32.1| 1.22e-14|<hard>
210|01 33 50.26|+31 01 38.6| 4.80e-15|<hard>
211|01 33 50.84|+30 39 37.1| 1.10e-11|XRB
212|01 33 52.06|+30 27 06.6| 1.44e-14|<hard>
216|01 33 55.39|+30 23 43.3| 5.79e-15|<hard>
217|01 33 56.08|+30 30 27.5| 3.96e-15|<hard>
218|01 33 56.75|+30 37 30.0| 2.33e-14|<hard>
219|01 33 56.78|+30 37 08.4| 8.74e-15|<hard>
221|01 33 56.85|+30 23 04.9| 3.85e-15|<hard>
222|01 33 56.93|+30 51 37.1| 4.62e-15|<hard>
226|01 33 58.70|+30 50 04.6| 8.76e-15|<hard>
228|01 34 00.15|+30 30 59.1| 3.70e-15|<hard>
229|01 34 00.26|+30 57 31.1| 3.54e-15|<hard>
232|01 34 00.97|+30 32 44.0| 3.72e-15|
233|01 34 01.14|+30 31 37.6| 2.77e-14|<hard>
234|01 34 02.00|+30 30 05.3| 3.00e-14|<hard>
235|01 34 02.75|+30 49 42.0| 4.20e-15|<hard>
236|01 34 02.86|+30 41 51.8| 5.40e-15|<hard>
237|01 34 03.45|+30 56 41.7| 4.29e-15|<hard>
238|01 34 05.00|+30 55 59.1| 3.76e-15|<hard>
240|01 34 05.70|+30 22 39.3| 1.01e-14|
241|01 34 05.75|+30 17 31.2| 3.06e-15|<hard>
242|01 34 06.07|+31 08 26.0| 3.46e-15|
243|01 34 07.76|+30 35 54.5| 7.82e-15|<hard>
246|01 34 09.57|+30 32 58.8| 2.23e-15|<hard>
248|01 34 10.30|+30 53 45.3| 4.33e-15|<hard>
249|01 34 10.42|+30 39 46.5| 2.64e-14|<hard>
251|01 34 12.90|+30 35 56.1| 3.87e-15|<hard>
253|01 34 13.96|+31 06 28.7| 1.10e-14|<hard>
257|01 34 16.63|+30 17 06.7| 7.87e-15|<hard>
258|01 34 16.71|+30 51 01.8| 4.67e-15|<hard>
259|01 34 17.09|+30 34 25.9| 7.08e-15|<hard>
260|01 34 17.26|+30 17 41.7| 1.49e-14|<hard>
261|01 34 17.30|+30 58 47.1| 2.39e-15|<hard>
263|01 34 18.93|+31 05 16.2| 6.12e-15|<hard>
264|01 34 19.00|+31 08 35.5| 8.49e-15|<hard>
265|01 34 19.48|+30 49 41.2| 2.09e-15|<hard>
267|01 34 20.40|+31 00 11.4| 7.75e-15|<hard>
268|01 34 20.94|+30 39 31.4| 1.86e-15|<hard>
269|01 34 21.13|+30 49 32.4| 6.14e-15|<hard>
271|01 34 23.78|+31 06 44.7| 7.58e-14|<hard>
272|01 34 23.81|+30 38 46.4| 8.54e-15|<hard>
273|01 34 24.55|+30 43 07.2| 2.19e-15|<hard>
274|01 34 24.64|+30 16 04.4| 1.63e-14|<hard>
275|01 34 24.93|+30 25 39.7| 2.97e-15|<hard>
276|01 34 25.08|+30 42 01.1| 5.39e-15|<hard>
277|01 34 25.72|+30 55 19.2| 4.13e-13|<hard>
278|01 34 25.72|+30 28 18.0| 9.35e-15|<hard>
279|01 34 25.78|+30 33 19.1| 3.12e-15|<hard>
280|01 34 25.82|+30 22 51.6| 2.36e-15|
282|01 34 26.43|+30 44 46.4| 5.93e-15|<hard>
