X [mm],Y [mm],dx [mm],dy [mm]
9.2827494863,6.6665320602,-0.2084997738,-0.1072628343
8.2992204230,6.6595692422,-0.0296729576,-0.0798763942
7.3156913597,6.6526064242,-0.0023561629,-0.0428646474
6.3321622964,6.6456436063,-0.0027489405,-0.0240392015
5.3486332331,6.6386807883,-0.0036569040,-0.0097613074
4.3651041698,6.6317179703,-0.0185315549,-0.0132984283
3.3815751065,6.6247551523,-0.0077827407,-0.0003412352
2.3980460432,6.6177923344,-0.0176905265,0.0035093355
1.4145169799,6.6108295164,-0.0087145137,0.0011119128
0.4309879166,6.6038666984,-0.0239186538,0.0059211094
-0.5525411466,6.5969038804,-0.0009116074,0.0080114192
-1.5360702099,6.5899410625,0.0074259436,0.0022728714
-2.5195992732,6.5829782445,0.0153513517,0.0086323448
-3.5031283365,6.5760154265,0.0219378617,0.0169807618
-4.4866573998,6.5690526085,0.0162986596,0.0304818629
-5.4701864631,6.5620897906,0.0194323907,0.0239437671
-6.4537155264,6.5551269726,0.0415272726,0.0262947270
-7.4372445897,6.5481641546,0.0663160216,0.0415083921
-8.4207736530,6.5412013366,0.1404767491,0.0801376187
-9.4043027163,6.5342385187,0.2511867371,0.0610365011
9.3215423978,5.6868394400,-0.2285990020,-0.1080670618
8.3380133345,5.6798766220,-0.0197908436,-0.0796780124
7.3544842712,5.6729138040,-0.0141695566,-0.0357273933
6.3709552079,5.6659509860,0.0007021473,-0.0224947649
5.3874261446,5.6589881681,-0.0041046598,-0.0178583433
4.4038970813,5.6520253501,-0.0241408300,-0.0067021038
3.4203680180,5.6450625321,-0.0066907618,-0.0038306400
2.4368389547,5.6380997141,-0.0050698971,-0.0207407867
1.4533098914,5.6311368962,-0.0204600306,-0.0085172396
0.4697808281,5.6241740782,-0.0060304290,-0.0107388783
-0.5137482352,5.6172112602,-0.0082068299,0.0007540446
-1.4972772985,5.6102484422,-0.0062934410,0.0003987558
-2.4808063618,5.6032856243,0.0117757459,-0.0010587748
-3.4643354251,5.5963228063,0.0061836755,0.0158820772
-4.4478644884,5.5893599883,0.0046741052,0.0018860406
-5.4313935517,5.5823971703,0.0147487986,0.0171890651
-6.4149226150,5.5754343524,0.0317694293,0.0226368583
-7.3984516783,5.5684715344,0.0601977297,0.0343923815
-8.3819807416,5.5615087164,0.1355770574,0.0690592017
-9.3655098049,5.5545458984,0.2469292876,0.0713055239
9.3603353092,4.7071468198,-0.2506066314,-0.0947623874
8.3768062459,4.7001840018,-0.0331341918,-0.0689232679
7.3932771826,4.6932211838,0.0125241257,-0.0351354121
6.4097481193,4.6862583658,0.0012220591,-0.0244919107
5.4262190560,4.6792955479,0.0033781558,-0.0092690376
4.4426899927,4.6723327299,-0.0129592136,-0.0092239676
3.4591609294,4.6653699119,-0.0045280172,-0.0034800590
