version,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,Ideal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,"Reformatted ideal (static) orientations and alignments of the components. This is where the components start out on orbit, and could be different from the values measured on ground.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
step size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
step,type,Inertial-SC,,,,SC-FB,,,,FB-FPM0,,,,FB-FPM1,,,,FB-MD0,,,,FB-MD1,,,,FB-AS0,,,,FB-AS1,,,,FB-OB,,,,OB-OM0,,,,OB-OM1,,,,OB-ML0,,,,OB-ML1,,,,OB-ST,,,
11,v,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1254.942,,257.1750026,411.1892622,1254.942.3,,-0.55819562,189.57379,10560.949,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,
      11,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00029661718,  -5.2906678e-05,   0.00037098432,      0.99999990,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
12,v,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1254.942,,257.1750026,411.1892622,1254.942.3,,-0.58114471,189.57203,10560.949,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,
      12,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00029678217,  -5.5078406e-05,   0.00037448367,      0.99999989,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
13,v,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1254.942,,257.1750026,411.1892622,1254.942.3,,-0.60427692,189.57002,10560.949,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,
      13,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00029697164,  -5.7267612e-05,   0.00037848301,      0.99999989,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
14,v,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1254.942,,257.1750026,411.1892622,1254.942.3,,-0.62875189,189.56752,10560.949,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,
      14,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00029720717,  -5.9584139e-05,   0.00038348232,      0.99999989,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
15,v,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1254.942,,257.1750026,411.1892622,1254.942.3,,-0.65142631,189.56476,10560.949,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,
      15,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00029746724,  -6.1730523e-05,   0.00038898165,      0.99999989,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
